"","i","test","test.number","avg.pval","avg.stat","flag"
"185",0.16,"Mantissa Arc Test","t9",0,0.13865538045176,0
"186",0.16,"Mean Absolute Deviation","t10",NA,0.0526851946146338,0
"187",0.16,"Distortion Factor","t11",NA,2.34044322885061,1
"188",0.17,"Chi-Square Test for Benford Distribution","t1",0,2841.97375760754,0
"189",0.17,"Euclidean Distance Test for Benford Distribution","t2",0,21.0540208131036,0
"190",0.17,"Joint Digits Test","t3",0,2841.97375760754,0
"191",0.17,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.26187287655642,0
"192",0.17,"K-S Test for Benford Distribution","t5",0,18.0367254719662,0
"193",0.17,"Chebyshev Distance Test for Benford Distribution","t6",0,16.4573995663981,0
"194",0.17,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,77.2825274470541,0
"195",0.17,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0606369427767417,0
"196",0.17,"Mantissa Arc Test","t9",0,0.137257722722084,0
"197",0.17,"Mean Absolute Deviation","t10",NA,0.0523589366012013,0
"198",0.17,"Distortion Factor","t11",NA,2.50444241879179,1
"199",0.18,"Chi-Square Test for Benford Distribution","t1",0,2772.69652111234,0
"200",0.18,"Euclidean Distance Test for Benford Distribution","t2",0,20.7303902091201,0
"201",0.18,"Joint Digits Test","t3",0,2772.69652111235,0
"202",0.18,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.277048261034925,0
"203",0.18,"K-S Test for Benford Distribution","t5",0,17.7865254719662,0
"204",0.18,"Chebyshev Distance Test for Benford Distribution","t6",0,16.1595995663981,0
"205",0.18,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,75.3904301084524,0
"206",0.18,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0594696268387022,0
"207",0.18,"Mantissa Arc Test","t9",0,0.13368809109487,0
"208",0.18,"Mean Absolute Deviation","t10",NA,0.0518104921567568,0
"209",0.18,"Distortion Factor","t11",NA,2.41997002304372,1
