"","i","test","test.number","avg.pval","avg.stat","flag"
"1013",0.92,"Chi-Square Test for Benford Distribution","t1",0.00256180152085827,33.7656404546088,0
"1014",0.92,"Euclidean Distance Test for Benford Distribution","t2",0.00185799999999999,2.17320406090898,0
"1015",0.92,"Joint Digits Test","t3",0.00256180152085828,33.7656404546088,0
"1016",0.92,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.00549,0.993961400621306,0
"1017",0.92,"K-S Test for Benford Distribution","t5",0.006196,1.81161654886098,0
"1018",0.92,"Chebyshev Distance Test for Benford Distribution","t6",0.00992199999999999,1.61957543284742,0
"1019",0.92,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.000109999999999997,0.778193706556296,0
"1020",0.92,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.269393552813211,0.00634292712970814,1
"1021",0.92,"Mantissa Arc Test","t9",0.000168947840577823,0.00134425256407606,0
"1022",0.92,"Mean Absolute Deviation","t10",NA,0.00544261824601014,0
"1023",0.92,"Distortion Factor","t11",NA,0.217948845747334,1
"1024",0.93,"Chi-Square Test for Benford Distribution","t1",0.0176600719926037,28.5137833862589,0
"1025",0.93,"Euclidean Distance Test for Benford Distribution","t2",0.01467,1.92828858455519,0
"1026",0.93,"Joint Digits Test","t3",0.0176600719926037,28.513783386259,0
"1027",0.93,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.023382,0.994994551423492,0
"1028",0.93,"K-S Test for Benford Distribution","t5",0.030804,1.61553037832921,0
"1029",0.93,"Chebyshev Distance Test for Benford Distribution","t6",0.035442,1.37025735167963,0
"1030",0.93,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.001634,0.650874532703486,0
"1031",0.93,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.382027384367844,0.0050068204688025,1
"1032",0.93,"Mantissa Arc Test","t9",0.00238773574525434,0.00109769520730023,0
"1033",0.93,"Mean Absolute Deviation","t10",NA,0.00498890424813628,0
"1034",0.93,"Distortion Factor","t11",NA,0.124897219169569,1
"1035",0.94,"Chi-Square Test for Benford Distribution","t1",0.0599778835381058,21.5622638615027,1
"1036",0.94,"Euclidean Distance Test for Benford Distribution","t2",0.028778,1.71557174331029,0
"1037",0.94,"Joint Digits Test","t3",0.0599778835381058,21.5622638615028,1
"1038",0.94,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.062292,0.996125248344196,1
"1039",0.94,"K-S Test for Benford Distribution","t5",0.048524,1.45471644879245,0
"1040",0.94,"Chebyshev Distance Test for Benford Distribution","t6",0.037474,1.25914811316728,0
"1041",0.94,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.01288,0.451735481810157,0
"1042",0.94,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.338590846054287,0.00529092777019069,1
"1043",0.94,"Mantissa Arc Test","t9",0.0187966085445247,0.000771980029689529,0
"1044",0.94,"Mean Absolute Deviation","t10",NA,0.00429276429592206,0
"1045",0.94,"Distortion Factor","t11",NA,0.210644118635452,1
"1046",0.95,"Chi-Square Test for Benford Distribution","t1",0.095794547263761,17.5276626784668,1
"1047",0.95,"Euclidean Distance Test for Benford Distribution","t2",0.08389,1.44445696998563,1
"1048",0.95,"Joint Digits Test","t3",0.095794547263761,17.5276626784668,1
"1049",0.95,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.101926,0.997040269410477,1
"1050",0.95,"K-S Test for Benford Distribution","t5",0.110026,1.19251550900413,1
"1051",0.95,"Chebyshev Distance Test for Benford Distribution","t6",0.141402,0.963965096677826,1
"1052",0.95,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.030516,0.316114485234419,0
"1053",0.95,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.46765008549027,0.00419406386215702,1
"1054",0.95,"Mantissa Arc Test","t9",0.0286243840072206,0.000537903418846285,0
"1055",0.95,"Mean Absolute Deviation","t10",NA,0.00381455587043445,0
"1056",0.95,"Distortion Factor","t11",NA,0.0856507336077323,1
"1057",0.96,"Chi-Square Test for Benford Distribution","t1",0.184057425592694,14.2158789920997,1
"1058",0.96,"Euclidean Distance Test for Benford Distribution","t2",0.199218,1.22593671251202,1
"1059",0.96,"Joint Digits Test","t3",0.184057425592694,14.2158789920997,1
"1060",0.96,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.196048,0.997663974934428,1
"1061",0.96,"K-S Test for Benford Distribution","t5",0.212718,0.993998900366462,1
"1062",0.96,"Chebyshev Distance Test for Benford Distribution","t6",0.24374,0.805748462456424,1
"1063",0.96,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.12084,0.230392886899048,1
"1064",0.96,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.53439264926957,0.00341969463864147,1
"1065",0.96,"Mantissa Arc Test","t9",0.125118942545696,0.000373896531820008,1
"1066",0.96,"Mean Absolute Deviation","t10",NA,0.00326526138604569,0
"1067",0.96,"Distortion Factor","t11",NA,-0.100190921036884,1
"1068",0.97,"Chi-Square Test for Benford Distribution","t1",0.304904910167292,11.6041848869904,1
"1069",0.97,"Euclidean Distance Test for Benford Distribution","t2",0.248814,1.15908925115478,1
"1070",0.97,"Joint Digits Test","t3",0.304904910167293,11.6041848869904,1
"1071",0.97,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.273982,0.997944873887744,1
"1072",0.97,"K-S Test for Benford Distribution","t5",0.24199,0.930152810393956,1
"1073",0.97,"Chebyshev Distance Test for Benford Distribution","t6",0.257336,0.808339902073847,1
"1074",0.97,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.184738,0.177033218640101,1
"1075",0.97,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.487481133636293,0.00369363484457061,1
"1076",0.97,"Mantissa Arc Test","t9",0.187313669308851,0.000281372653133249,1
"1077",0.97,"Mean Absolute Deviation","t10",NA,0.00303683805452867,0
"1078",0.97,"Distortion Factor","t11",NA,0.112510945194182,1
"1079",0.98,"Chi-Square Test for Benford Distribution","t1",0.43026897222427,9.83139401121881,1
"1080",0.98,"Euclidean Distance Test for Benford Distribution","t2",0.411118,0.996818121145103,1
"1081",0.98,"Joint Digits Test","t3",0.43026897222427,9.83139401121882,1
"1082",0.98,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.415374,0.998365646045203,1
"1083",0.98,"K-S Test for Benford Distribution","t5",0.409916,0.753780836948842,1
"1084",0.98,"Chebyshev Distance Test for Benford Distribution","t6",0.433654,0.65967609737259,1
"1085",0.98,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.393206,0.116264787201395,1
"1086",0.98,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.438385265798826,0.00385835939739963,1
"1087",0.98,"Mantissa Arc Test","t9",0.432932134523579,0.000157531721988137,1
"1088",0.98,"Mean Absolute Deviation","t10",NA,0.00264072480292043,0
"1089",0.98,"Distortion Factor","t11",NA,-0.0590433708269471,1
"1090",0.99,"Chi-Square Test for Benford Distribution","t1",0.442237872716716,8.76233096688751,1
"1091",0.99,"Euclidean Distance Test for Benford Distribution","t2",0.460814,0.918949024240907,1
"1092",0.99,"Joint Digits Test","t3",0.442237872716716,8.76233096688751,1
"1093",0.99,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.469012,0.998746759799793,1
"1094",0.99,"K-S Test for Benford Distribution","t5",0.470326,0.709230390208746,1
"1095",0.99,"Chebyshev Distance Test for Benford Distribution","t6",0.457138,0.613946506890794,1
"1096",0.99,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.468746,0.0854747725661735,1
"1097",0.99,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.479922593230404,0.00393301053409183,1
"1098",0.99,"Mantissa Arc Test","t9",0.479597416706087,0.000119922554252951,1
"1099",0.99,"Mean Absolute Deviation","t10",NA,0.00243997850073682,0
"1100",0.99,"Distortion Factor","t11",NA,0.198724823443306,1
"1101",1,"Chi-Square Test for Benford Distribution","t1",0.507128243401273,7.82521714070757,1
"1102",1,"Euclidean Distance Test for Benford Distribution","t2",0.492504,0.877439654340163,1
"1103",1,"Joint Digits Test","t3",0.507128243401272,7.82521714070758,1
"1104",1,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0.518224,0.998855841601479,1
"1105",1,"K-S Test for Benford Distribution","t5",0.474652,0.661196080028514,1
"1106",1,"Chebyshev Distance Test for Benford Distribution","t6",0.49944,0.566859335923556,1
"1107",1,"Freedman-Watson U-squared Test for Benford Distribution","t7",0.491386,0.0690412732432517,1
"1108",1,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0.484833195789328,0.00357154742970797,1
"1109",1,"Mantissa Arc Test","t9",0.528024867182417,8.37917898574224e-05,1
"1110",1,"Mean Absolute Deviation","t10",NA,0.00236554337801406,0
"1111",1,"Distortion Factor","t11",NA,-0.0169690641492157,1
