"","model","parameter.set.j.","measure","tr.stats.chisq.statistic","tr.stats.chisq.p.value","tr.MAD","tr.stats.mantissa.arc.test.statistic","tr.stats.mantissa.arc.test.p.value","tr.distortion.factor"
"X-squared7289","small.world",0.00455555555555556,"degree",159760.82694313,0,0.195432772789471,0.991625280175996,0,104.630328781499
"X-squared7290","small.world",0.00455555555555556,"degree",158146.723477095,0,0.194410550567249,0.990740378592236,0,104.630328781499
"X-squared7291","small.world",0.00455555555555556,"degree",160709.008113226,0,0.196032772789471,0.991903154648009,0,104.628025135339
"X-squared7292","small.world",0.00455555555555556,"degree",159611.47493181,0,0.195343883900582,0.991399954518074,0,104.515146473502
"X-squared7293","small.world",0.00455555555555556,"degree",161759.496398216,0,0.196699439456137,0.992186774063844,0,104.469073550303
"X-squared7294","small.world",0.00455555555555556,"degree",159615.714809046,0,0.195343883900582,0.9915749831105,0,104.515146473502
"X-squared7295","small.world",0.00455555555555556,"degree",159407.976926526,0,0.195210550567249,0.991438207931391,0,104.6072923199
"X-squared7296","small.world",0.00455555555555556,"degree",159867.000314395,0,0.195499439456137,0.991703935220071,0,104.630328781499
"X-squared7297","small.world",0.00455555555555556,"degree",161020.039866675,0,0.196232772789471,0.991935978228822,0,104.538182935101
"X-squared7298","small.world",0.00455555555555556,"degree",158071.327217313,0,0.194366106122804,0.990713363239264,0,104.515146473502
"X-squared7299","small.world",0.00455555555555556,"degree",158245.102474066,0,0.194477217233915,0.990848719576194,0,104.469073550303
"X-squared7300","small.world",0.00455555555555556,"betweenness",133.874114708237,4.44691947810574e-25,0.0102311130382306,0.00787507362383585,6.29491406714336e-35,-5.26994358922334
"X-squared7301","small.world",0.00455555555555556,"betweenness",160.117323218064,1.51151321242902e-30,0.0113844434808847,0.0100674622396781,1.89481592186244e-44,-6.34268455708509
"X-squared7302","small.world",0.00455555555555556,"betweenness",141.671675963406,1.06540179999185e-26,0.0105022202951028,0.00829812998987191,9.15544278252396e-37,-4.79110784182731
"X-squared7303","small.world",0.00455555555555556,"betweenness",132.010849422391,1.08312828016553e-24,0.0099466647395472,0.00830397894892178,8.6353043024447e-37,-4.82410446918889
"X-squared7304","small.world",0.00455555555555556,"betweenness",164.941841216374,1.47903030281547e-31,0.0105422241493417,0.00958679799074117,2.31774330364355e-42,-5.90032005799579
"X-squared7305","small.world",0.00455555555555556,"betweenness",144.932305997519,2.23204935276036e-27,0.0103044454080042,0.00791913024483374,4.0518590741653e-35,-5.14326864279269
"X-squared7306","small.world",0.00455555555555556,"betweenness",115.950526010096,2.26934364798381e-21,0.00928222318578197,0.00733350189826241,1.41581309738204e-32,-4.58508685579704
"X-squared7307","small.world",0.00455555555555556,"betweenness",226.290960456361,1.80246882756201e-44,0.0144533352604528,0.0126549049777966,1.09760478413812e-55,-8.11901848712821
