model,param,measure,tr.stats.chisq.statistic,tr.stats.chisq.p.value,tr.MAD,tr.stats.mantissa.arc.test.statistic,tr.stats.mantissa.arc.test.p.value,tr.distortion.factor,chi,ks,f,chd,ed,js,jj,jd
small.world,0.0027777778,closeness,35008.5268272735,0,0.1588103975,0.8813340173,0,-89.5800558616,0,0,0,0,0,45,0,0
small.world,0.0027777778,clustering,122768.650978322,0,0.1944596023,0.9725893326,0,-83.8533942243,0,0,0,0,0,6,0,0
small.world,0.0027777778,degree,169235.655448332,0,0.2013074395,0.9948373936,0,104.6694677298,0,0,0,0,0,0,0,0
small.world,0.0032222222,betweenness,166.4966649949,3.82906373505217E-12,0.012868347,0.0091737767,4.48292815317591E-16,-2.2677565537,0,0,0,0,0,0,30,0
small.world,0.0032222222,closeness,38031.2998782522,0,0.1549338754,0.8881358479,0,-88.5989010838,0,0,0,0,0,49,0,0
small.world,0.0032222222,clustering,120125.093125978,0,0.1923013801,0.9683460854,0,-83.8937526405,0,0,0,0,0,9,0,0
small.world,0.0032222222,degree,166799.673630212,0,0.199820995,0.9939903054,0,104.6456710649,0,0,0,0,0,0,0,0
small.world,0.0036666667,betweenness,155.8092538645,9.71255444773786E-15,0.0118498989,0.0091731454,4.78823222527972E-20,-3.6450841167,0,0,0,0,0,0,22,0
small.world,0.0036666667,closeness,39053.3182116281,0,0.1618126512,0.8990339945,0,-87.7411053321,0,0,0,0,0,46,0,0
small.world,0.0036666667,clustering,117603.404948999,0,0.1902140467,0.9638839674,0,-83.9370047662,0,0,0,0,0,3,0,0
small.world,0.0036666667,degree,164487.22604365,0,0.198394995,0.9931740776,0,104.6272879686,0,0,0,0,0,0,0,0
small.world,0.0041111111,betweenness,148.2163264332,1.47555610150409E-10,0.0110541571,0.0089874423,2.2279443183578E-16,-4.6093785938,0,0,0,0,0,0,9,0
small.world,0.0041111111,closeness,42830.2002732356,0,0.1639779587,0.9052992914,0,-86.8398565115,0,0,0,0,0,49,0,0
small.world,0.0041111111,clustering,114825.36222673,0,0.187876269,0.9594170108,0,-83.9795005114,0,0,0,0,0,3,0,0
small.world,0.0041111111,degree,162022.692529378,0,0.1968585506,0.9923200079,0,104.6047352727,0,0,0,0,0,0,0,0
small.world,0.0045555556,betweenness,148.9615046545,3.36678372756982E-13,0.0109036299,0.0088715852,1.47836054290516E-20,-5.417627212,0,0,0,0,0,0,13,0
small.world,0.0045555556,closeness,45184.5910982358,0,0.1646571472,0.9113845549,0,-86.1600668178,0,0,0,0,0,46,0,0
small.world,0.0045555556,clustering,112472.481233227,0,0.1858693801,0.9553244453,0,-84.0178051035,0,0,0,0,0,1,0,0
small.world,0.0045555556,degree,159988.705565412,0,0.1955783283,0.9915674431,0,104.5751794924,0,0,0,0,0,0,0,0
small.world,0.005,betweenness,157.1125515412,7.58826496929445E-15,0.0113540834,0.0090615185,2.5442362367144E-22,-5.9374313572,0,0,0,0,0,0,22,0
small.world,0.005,closeness,45700.1586008327,0,0.1656864038,0.9175719958,0,-85.340757642,0,0,0,0,0,45,0,0
small.world,0.005,clustering,109589.954225982,0,0.1833740467,0.9505357104,0,-84.0646489411,0,0,0,0,0,0,0,0
small.world,0.005,degree,157390.927242953,0,0.1939252172,0.9906201633,0,104.5545157864,0,0,0,0,0,0,0,0
